 C. Tzolis,Greece,"LW,RW,ST",18,,,PAOK,,,,
 Marcos Llorente,Spain,"CM,RM,ST",25,,,Atlético Madrid,,,,
 T. Nianzou,France,"CB,CDM",18,,,FC Bayern München,,,,
 B. Saka,England,"LWB,LB",18,,,Arsenal,,,,
 R. Gravenberch,Netherlands,"CM,CDM",18,,,Ajax,,,,
 A. Diallo,Ivory Coast,ST,17,,,Atalanta,,,,
 E. Smith Rowe,England,"CAM,RW",19,,,Arsenal,,,,
 E. Camavinga,France,CM,17,,,Stade Rennais FC,,,,
 J. Grealish,England,"LW,CAM,CM",24,,,Aston Villa,,,,
 N. De la Cruz,Uruguay,"CM,CAM,LW",23,,,River Plate,,,,
 L. Messi,Argentina,"RW,ST,CF",33,,,FC Barcelona,,,,
 W. Saliba,France,CB,19,,,Arsenal,,,,
 Pedri,Spain,"LM,CAM,CM",17,,,FC Barcelona,,,,
